[07:08:12] [main/INFO]: Loading Minecraft 1.20.1 with Fabric Loader 0.16.3
[07:08:12] [main/INFO]: Loading 4 mods:
	- fabricloader 0.16.3
	   \-- mixinextras 0.4.1
	- java 17
	- minecraft 1.20.1
[07:08:12] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=file:/workspaces/RPG-Server/servidor_minecraft/libraries/net/fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/sponge-mixin-0.15.2+mixin.0.8.7.jar Service=Knot/Fabric Env=SERVER
[07:08:17] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[07:08:18] [main/INFO]: Loaded 7 recipes
[07:08:18] [main/INFO]: Loaded 1271 advancements
[07:08:19] [Server thread/INFO]: Starting minecraft server version 1.20.1
[07:08:19] [Server thread/INFO]: Loading properties
[07:08:19] [Server thread/INFO]: Default game type: SURVIVAL
[07:08:19] [Server thread/INFO]: Generating keypair
[07:08:19] [Server thread/INFO]: Starting Minecraft server on *:25565
[07:08:19] [Server thread/INFO]: Using epoll channel type
[07:08:19] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[07:08:19] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[07:08:19] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[07:08:19] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[07:08:19] [Server thread/INFO]: Preparing level "world"
[07:08:25] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[07:08:26] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[07:08:26] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[07:08:26] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[07:08:27] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[07:08:27] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[07:08:28] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[07:08:28] [Worker-Main-1/INFO]: Preparing spawn area: 1%
[07:08:29] [Worker-Main-1/INFO]: Preparing spawn area: 2%
[07:08:29] [Worker-Main-3/INFO]: Preparing spawn area: 3%
[07:08:30] [Worker-Main-1/INFO]: Preparing spawn area: 5%
[07:08:30] [Worker-Main-3/INFO]: Preparing spawn area: 6%
[07:08:31] [Worker-Main-2/INFO]: Preparing spawn area: 7%
[07:08:31] [Worker-Main-1/INFO]: Preparing spawn area: 9%
[07:08:32] [Worker-Main-1/INFO]: Preparing spawn area: 10%
[07:08:32] [Worker-Main-2/INFO]: Preparing spawn area: 12%
[07:08:33] [Worker-Main-1/INFO]: Preparing spawn area: 14%
[07:08:33] [Worker-Main-1/INFO]: Preparing spawn area: 16%
[07:08:34] [Worker-Main-3/INFO]: Preparing spawn area: 18%
[07:08:34] [Worker-Main-2/INFO]: Preparing spawn area: 20%
[07:08:35] [Worker-Main-3/INFO]: Preparing spawn area: 22%
[07:08:35] [Worker-Main-2/INFO]: Preparing spawn area: 23%
[07:08:36] [Worker-Main-2/INFO]: Preparing spawn area: 25%
[07:08:36] [Worker-Main-2/INFO]: Preparing spawn area: 27%
[07:08:37] [Worker-Main-2/INFO]: Preparing spawn area: 29%
[07:08:37] [Worker-Main-3/INFO]: Preparing spawn area: 31%
[07:08:38] [Worker-Main-2/INFO]: Preparing spawn area: 34%
[07:08:38] [Worker-Main-2/INFO]: Preparing spawn area: 35%
[07:08:39] [Worker-Main-3/INFO]: Preparing spawn area: 37%
[07:08:39] [Worker-Main-2/INFO]: Preparing spawn area: 40%
[07:08:40] [Worker-Main-3/INFO]: Preparing spawn area: 42%
[07:08:40] [Worker-Main-3/INFO]: Preparing spawn area: 44%
[07:08:41] [Worker-Main-1/INFO]: Preparing spawn area: 46%
[07:08:41] [Worker-Main-3/INFO]: Preparing spawn area: 49%
[07:08:42] [Worker-Main-2/INFO]: Preparing spawn area: 51%
[07:08:42] [Worker-Main-2/INFO]: Preparing spawn area: 54%
[07:08:43] [Worker-Main-1/INFO]: Preparing spawn area: 57%
[07:08:43] [Worker-Main-2/INFO]: Preparing spawn area: 60%
[07:08:44] [Worker-Main-1/INFO]: Preparing spawn area: 62%
[07:08:44] [Worker-Main-1/INFO]: Preparing spawn area: 65%
[07:08:45] [Worker-Main-1/INFO]: Preparing spawn area: 68%
[07:08:45] [Worker-Main-1/INFO]: Preparing spawn area: 71%
[07:08:46] [Worker-Main-1/INFO]: Preparing spawn area: 73%
[07:08:46] [Worker-Main-1/INFO]: Preparing spawn area: 76%
[07:08:47] [Worker-Main-3/INFO]: Preparing spawn area: 79%
[07:08:47] [Worker-Main-1/INFO]: Preparing spawn area: 82%
[07:08:48] [Worker-Main-2/INFO]: Preparing spawn area: 85%
[07:08:48] [Worker-Main-1/INFO]: Preparing spawn area: 88%
[07:08:49] [Worker-Main-2/INFO]: Preparing spawn area: 90%
[07:08:49] [Worker-Main-1/INFO]: Preparing spawn area: 93%
[07:08:50] [Worker-Main-1/INFO]: Preparing spawn area: 96%
[07:08:50] [Server thread/INFO]: Time elapsed: 24953 ms
[07:08:50] [Server thread/INFO]: Done (30.930s)! For help, type "help"
[07:17:32] [Server thread/INFO]: Sir_Abduleo2[/127.106.20.109:47947] logged in with entity id 239 at (23.5, 108.0, -56.5)
[07:17:32] [Server thread/INFO]: Sir_Abduleo2 joined the game
